Year,Climate_Model,Discount_Rate,Difference,DifferenceToDate
2029,PCM,0.07,449748.72,4470309.38
2030,PCM,0.07,408305.60,4878614.99
2031,PCM,0.07,388528.75,5267143.73
2032,PCM,0.07,363300.80,5630444.54
2033,PCM,0.07,343265.65,5973710.19
2034,PCM,0.07,320738.73,6294448.92
2035,PCM,0.07,301883.26,6596332.18
2036,PCM,0.07,278741.40,6875073.57
2037,PCM,0.07,267308.38,7142381.96
2038,PCM,0.07,276306.99,7418688.95
2039,PCM,0.07,303153.09,7721842.03
2040,PCM,0.07,285326.96,8007168.99
2041,PCM,0.07,266840.40,8274009.39
2042,PCM,0.07,254031.61,8528041.00
2043,PCM,0.07,241705.26,8769746.26
2044,PCM,0.07,229966.20,8999712.46
2045,PCM,0.07,213506.30,9213218.75
2046,PCM,0.07,207585.30,9420804.06
2047,PCM,0.07,193098.27,9613902.32
2048,PCM,0.07,190090.28,9803992.61
2049,PCM,0.07,200976.44,10004969.05
2050,PCM,0.07,188928.35,10193897.39
2018,PCM,0.05,-250011.91,-250011.91
2019,PCM,0.05,460640.91,210629.00
2020,PCM,0.05,530683.59,741312.59
2021,PCM,0.05,507269.26,1248581.85
2022,PCM,0.05,514943.33,1763525.18
2023,PCM,0.05,494235.88,2257761.06
2024,PCM,0.05,453443.12,2711204.18
2025,PCM,0.05,438185.96,3149390.14
2026,PCM,0.05,417548.15,3566938.29
2027,PCM,0.05,431080.76,3998019.05
2028,PCM,0.05,470058.83,4468077.88
2029,PCM,0.05,553489.26,5021567.15
2030,PCM,0.05,512057.91,5533625.06
2031,PCM,0.05,496536.73,6030161.79
2032,PCM,0.05,473139.34,6503301.13
2033,PCM,0.05,455562.04,6958863.17
2034,PCM,0.05,433773.55,7392636.72
2035,PCM,0.05,416049.66,7808686.37
2036,PCM,0.05,391473.25,8200159.62
2037,PCM,0.05,382567.15,8582726.77
2038,PCM,0.05,402978.10,8985704.87
2039,PCM,0.05,450553.16,9436258.03
2040,PCM,0.05,432136.89,9868394.92
2041,PCM,0.05,411836.26,10280231.18
2042,PCM,0.05,399535.39,10679766.57
2043,PCM,0.05,387389.69,11067156.26
2044,PCM,0.05,375595.56,11442751.82
2045,PCM,0.05,355354.33,11798106.15
2046,PCM,0.05,352080.52,12150186.67
2047,PCM,0.05,333747.68,12483934.36
2048,PCM,0.05,334806.81,12818741.16
2049,PCM,0.05,360723.13,13179464.29
2050,PCM,0.05,345557.59,13525021.88
